Debug | 2023/07/10 00:37:04.744088 | WindowDataPoint | {"DatePerformed":"2022-09-01T00:00:00Z","Sets":3,"Reps":4,"Effort":5,"Intensity":0.757009346,"InterExerciseFatigue":10,"InterWorkoutFatigue":10}
Debug | 2023/07/10 00:37:04.766935 | DataPoint | {"DatePerformed":"2022-07-11T00:00:00Z","Sets":3,"Reps":5,"Effort":5,"Intensity":0.778846154,"InterExerciseFatigue":6,"InterWorkoutFatigue":6}
Debug | 2023/07/10 00:37:04.768917 | DataPoint | {"DatePerformed":"2022-07-07T00:00:00Z","Sets":1,"Reps":1,"Effort":9.5,"Intensity":1.009615385,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.769932 | DataPoint | {"DatePerformed":"2022-06-27T00:00:00Z","Sets":5,"Reps":3,"Effort":10,"Intensity":0.913461538,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.771155 | DataPoint | {"DatePerformed":"2022-06-27T00:00:00Z","Sets":1,"Reps":1,"Effort":9.5,"Intensity":0.951923077,"InterExerciseFatigue":15,"InterWorkoutFatigue":15}
Debug | 2023/07/10 00:37:04.772323 | DataPoint | {"DatePerformed":"2022-06-20T00:00:00Z","Sets":5,"Reps":4,"Effort":10,"Intensity":0.875,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.776505 | DataPoint | {"DatePerformed":"2022-06-16T00:00:00Z","Sets":4,"Reps":5,"Effort":9,"Intensity":0.817307692,"InterExerciseFatigue":5,"InterWorkoutFatigue":5}
Debug | 2023/07/10 00:37:04.778024 | DataPoint | {"DatePerformed":"2022-06-16T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.913461538,"InterExerciseFatigue":25,"InterWorkoutFatigue":25}
Debug | 2023/07/10 00:37:04.779261 | DataPoint | {"DatePerformed":"2022-06-16T00:00:00Z","Sets":1,"Reps":5,"Effort":7,"Intensity":0.817307692,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.780884 | DataPoint | {"DatePerformed":"2022-06-09T00:00:00Z","Sets":6,"Reps":6,"Effort":9.5,"Intensity":0.778846154,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.782567 | DataPoint | {"DatePerformed":"2022-06-06T00:00:00Z","Sets":4,"Reps":4,"Effort":9.5,"Intensity":0.817307692,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.784165 | DataPoint | {"DatePerformed":"2022-06-06T00:00:00Z","Sets":1,"Reps":1,"Effort":9.5,"Intensity":0.951923077,"InterExerciseFatigue":2,"InterWorkoutFatigue":2}
Debug | 2023/07/10 00:37:04.785475 | DataPoint | {"DatePerformed":"2022-06-06T00:00:00Z","Sets":1,"Reps":2,"Effort":9.5,"Intensity":0.951923077,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.786665 | DataPoint | {"DatePerformed":"2022-05-30T00:00:00Z","Sets":1,"Reps":9,"Effort":10,"Intensity":0.817307692,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.787815 | DataPoint | {"DatePerformed":"2022-05-30T00:00:00Z","Sets":3,"Reps":6,"Effort":8,"Intensity":0.740384615,"InterExerciseFatigue":9,"InterWorkoutFatigue":9}
Debug | 2023/07/10 00:37:04.788983 | DataPoint | {"DatePerformed":"2022-05-23T00:00:00Z","Sets":1,"Reps":11,"Effort":10,"Intensity":0.778846154,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.790093 | DataPoint | {"DatePerformed":"2022-05-23T00:00:00Z","Sets":3,"Reps":6,"Effort":8,"Intensity":0.701923077,"InterExerciseFatigue":12,"InterWorkoutFatigue":12}
Debug | 2023/07/10 00:37:04.791588 | DataPoint | {"DatePerformed":"2022-05-23T00:00:00Z","Sets":1,"Reps":1,"Effort":8.5,"Intensity":0.875,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.792847 | DataPoint | {"DatePerformed":"2022-05-15T00:00:00Z","Sets":3,"Reps":6,"Effort":9,"Intensity":0.701923077,"InterExerciseFatigue":6,"InterWorkoutFatigue":6}
Debug | 2023/07/10 00:37:04.794163 | DataPoint | {"DatePerformed":"2022-05-15T00:00:00Z","Sets":1,"Reps":6,"Effort":10,"Intensity":0.875,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.795320 | DataPoint | {"DatePerformed":"2022-05-05T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":1.02970297,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.796509 | DataPoint | {"DatePerformed":"2022-05-02T00:00:00Z","Sets":1,"Reps":1,"Effort":5,"Intensity":0.623762376,"InterExerciseFatigue":0,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.797668 | DataPoint | {"DatePerformed":"2022-04-28T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":0.98019802,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.798752 | DataPoint | {"DatePerformed":"2022-04-28T00:00:00Z","Sets":3,"Reps":5,"Effort":5,"Intensity":0.623762376,"InterExerciseFatigue":2,"InterWorkoutFatigue":2}
Debug | 2023/07/10 00:37:04.799830 | DataPoint | {"DatePerformed":"2022-04-28T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":1.01980198,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.801035 | DataPoint | {"DatePerformed":"2022-04-18T00:00:00Z","Sets":4,"Reps":4,"Effort":9.5,"Intensity":0.841584158,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.802212 | DataPoint | {"DatePerformed":"2022-04-18T00:00:00Z","Sets":1,"Reps":3,"Effort":10,"Intensity":0.98019802,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.803462 | DataPoint | {"DatePerformed":"2022-04-09T00:00:00Z","Sets":3,"Reps":6,"Effort":10,"Intensity":0.801980198,"InterExerciseFatigue":6,"InterWorkoutFatigue":6}
Debug | 2023/07/10 00:37:04.804560 | DataPoint | {"DatePerformed":"2022-04-09T00:00:00Z","Sets":1,"Reps":6,"Effort":9.5,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.805692 | DataPoint | {"DatePerformed":"2022-04-02T00:00:00Z","Sets":1,"Reps":8,"Effort":9,"Intensity":0.841584158,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.807150 | DataPoint | {"DatePerformed":"2022-04-02T00:00:00Z","Sets":3,"Reps":6,"Effort":6.5,"Intensity":0.722772277,"InterExerciseFatigue":8,"InterWorkoutFatigue":8}
Debug | 2023/07/10 00:37:04.808461 | DataPoint | {"DatePerformed":"2022-03-29T00:00:00Z","Sets":1,"Reps":10,"Effort":6,"Intensity":0.445544554,"InterExerciseFatigue":0,"InterWorkoutFatigue":36}
Debug | 2023/07/10 00:37:04.809718 | DataPoint | {"DatePerformed":"2022-03-27T00:00:00Z","Sets":2,"Reps":6,"Effort":6.5,"Intensity":0.801980198,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.811023 | DataPoint | {"DatePerformed":"2022-03-27T00:00:00Z","Sets":2,"Reps":10,"Effort":5,"Intensity":0.445544554,"InterExerciseFatigue":19,"InterWorkoutFatigue":19}
Debug | 2023/07/10 00:37:04.812296 | DataPoint | {"DatePerformed":"2022-03-27T00:00:00Z","Sets":1,"Reps":6,"Effort":5,"Intensity":0.623762376,"InterExerciseFatigue":13,"InterWorkoutFatigue":13}
Debug | 2023/07/10 00:37:04.813811 | DataPoint | {"DatePerformed":"2022-03-27T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.815505 | DataPoint | {"DatePerformed":"2022-02-18T00:00:00Z","Sets":1,"Reps":3,"Effort":9.5,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.816701 | DataPoint | {"DatePerformed":"2022-02-18T00:00:00Z","Sets":1,"Reps":2,"Effort":10,"Intensity":0.98019802,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.817905 | DataPoint | {"DatePerformed":"2022-02-16T00:00:00Z","Sets":1,"Reps":12,"Effort":8,"Intensity":0.623762376,"InterExerciseFatigue":2,"InterWorkoutFatigue":2}
Debug | 2023/07/10 00:37:04.819016 | DataPoint | {"DatePerformed":"2022-02-16T00:00:00Z","Sets":2,"Reps":1,"Effort":6,"Intensity":0.801980198,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.820119 | DataPoint | {"DatePerformed":"2022-02-11T00:00:00Z","Sets":1,"Reps":1,"Effort":9.5,"Intensity":0.98019802,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.821425 | DataPoint | {"DatePerformed":"2022-02-05T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":2}
Debug | 2023/07/10 00:37:04.822811 | DataPoint | {"DatePerformed":"2022-02-04T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.823922 | DataPoint | {"DatePerformed":"2022-02-04T00:00:00Z","Sets":1,"Reps":1,"Effort":6,"Intensity":0.722772277,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.825052 | DataPoint | {"DatePerformed":"2022-02-04T00:00:00Z","Sets":1,"Reps":1,"Effort":6,"Intensity":0.722772277,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.826185 | DataPoint | {"DatePerformed":"2022-02-04T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.827363 | DataPoint | {"DatePerformed":"2022-01-31T00:00:00Z","Sets":1,"Reps":1,"Effort":5,"Intensity":0.801980198,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.828483 | DataPoint | {"DatePerformed":"2022-01-21T00:00:00Z","Sets":1,"Reps":3,"Effort":8,"Intensity":0.821782178,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.829608 | DataPoint | {"DatePerformed":"2022-01-21T00:00:00Z","Sets":4,"Reps":4,"Effort":7,"Intensity":0.722772277,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.830767 | DataPoint | {"DatePerformed":"2022-01-17T00:00:00Z","Sets":2,"Reps":4,"Effort":8.5,"Intensity":0.801980198,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.832014 | DataPoint | {"DatePerformed":"2022-01-17T00:00:00Z","Sets":1,"Reps":3,"Effort":10,"Intensity":0.98019802,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.833185 | DataPoint | {"DatePerformed":"2022-01-07T00:00:00Z","Sets":1,"Reps":3,"Effort":9,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.834337 | DataPoint | {"DatePerformed":"2022-01-07T00:00:00Z","Sets":4,"Reps":4,"Effort":7,"Intensity":0.801980198,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.835778 | DataPoint | {"DatePerformed":"2021-12-24T00:00:00Z","Sets":4,"Reps":4,"Effort":6,"Intensity":0.742574257,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.837117 | DataPoint | {"DatePerformed":"2021-12-24T00:00:00Z","Sets":1,"Reps":3,"Effort":6,"Intensity":0.821782178,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.838689 | DataPoint | {"DatePerformed":"2021-12-17T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":0.99009901,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.840022 | DataPoint | {"DatePerformed":"2021-12-06T00:00:00Z","Sets":1,"Reps":7,"Effort":10,"Intensity":0.801980198,"InterExerciseFatigue":0,"InterWorkoutFatigue":4}
Debug | 2023/07/10 00:37:04.841235 | DataPoint | {"DatePerformed":"2021-12-06T00:00:00Z","Sets":1,"Reps":9,"Effort":10,"Intensity":0.722772277,"InterExerciseFatigue":0,"InterWorkoutFatigue":15}
Debug | 2023/07/10 00:37:04.842691 | DataPoint | {"DatePerformed":"2021-11-26T00:00:00Z","Sets":1,"Reps":1,"Effort":6,"Intensity":0.821782178,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.843964 | DataPoint | {"DatePerformed":"2021-11-26T00:00:00Z","Sets":4,"Reps":4,"Effort":6,"Intensity":0.742574257,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.845292 | DataPoint | {"DatePerformed":"2021-11-19T00:00:00Z","Sets":3,"Reps":4,"Effort":6,"Intensity":0.742574257,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.846489 | DataPoint | {"DatePerformed":"2021-11-19T00:00:00Z","Sets":1,"Reps":3,"Effort":6,"Intensity":0.821782178,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.847899 | DataPoint | {"DatePerformed":"2021-11-12T00:00:00Z","Sets":3,"Reps":7,"Effort":7,"Intensity":0.63,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.849001 | DataPoint | {"DatePerformed":"2021-11-12T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":0.99,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.850279 | DataPoint | {"DatePerformed":"2021-11-06T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":1.01,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.851477 | DataPoint | {"DatePerformed":"2021-11-01T00:00:00Z","Sets":2,"Reps":6,"Effort":7,"Intensity":0.81,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.852748 | DataPoint | {"DatePerformed":"2021-11-01T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.854382 | DataPoint | {"DatePerformed":"2021-10-29T00:00:00Z","Sets":1,"Reps":1,"Effort":9,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.855501 | DataPoint | {"DatePerformed":"2021-10-29T00:00:00Z","Sets":2,"Reps":6,"Effort":7,"Intensity":0.81,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.856842 | DataPoint | {"DatePerformed":"2021-10-29T00:00:00Z","Sets":2,"Reps":1,"Effort":7,"Intensity":0.81,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.858043 | DataPoint | {"DatePerformed":"2021-10-26T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":21}
Debug | 2023/07/10 00:37:04.859228 | DataPoint | {"DatePerformed":"2021-10-26T00:00:00Z","Sets":4,"Reps":1,"Effort":7,"Intensity":0.81,"InterExerciseFatigue":1,"InterWorkoutFatigue":22}
Debug | 2023/07/10 00:37:04.860473 | DataPoint | {"DatePerformed":"2021-10-22T00:00:00Z","Sets":1,"Reps":3,"Effort":8,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.861578 | DataPoint | {"DatePerformed":"2021-10-22T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":0.95,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.862846 | DataPoint | {"DatePerformed":"2021-10-08T00:00:00Z","Sets":6,"Reps":3,"Effort":6.5,"Intensity":0.81,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.864126 | DataPoint | {"DatePerformed":"2021-10-08T00:00:00Z","Sets":1,"Reps":3,"Effort":6.5,"Intensity":0.87,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.865493 | DataPoint | {"DatePerformed":"2021-10-01T00:00:00Z","Sets":1,"Reps":1,"Effort":8.5,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.866819 | DataPoint | {"DatePerformed":"2021-10-01T00:00:00Z","Sets":6,"Reps":3,"Effort":6,"Intensity":0.73,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.868177 | DataPoint | {"DatePerformed":"2021-09-24T00:00:00Z","Sets":4,"Reps":4,"Effort":6,"Intensity":0.73,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.869489 | DataPoint | {"DatePerformed":"2021-09-24T00:00:00Z","Sets":1,"Reps":3,"Effort":6,"Intensity":0.81,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.870676 | DataPoint | {"DatePerformed":"2021-09-17T00:00:00Z","Sets":1,"Reps":3,"Effort":8.5,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.871917 | DataPoint | {"DatePerformed":"2021-09-17T00:00:00Z","Sets":5,"Reps":4,"Effort":8.5,"Intensity":0.81,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.873360 | DataPoint | {"DatePerformed":"2021-09-10T00:00:00Z","Sets":5,"Reps":4,"Effort":7.5,"Intensity":0.77,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.874542 | DataPoint | {"DatePerformed":"2021-09-10T00:00:00Z","Sets":1,"Reps":3,"Effort":7.5,"Intensity":0.85,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.875777 | DataPoint | {"DatePerformed":"2021-08-27T00:00:00Z","Sets":1,"Reps":3,"Effort":7,"Intensity":0.85,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.876997 | DataPoint | {"DatePerformed":"2021-08-27T00:00:00Z","Sets":5,"Reps":4,"Effort":7,"Intensity":0.77,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.878275 | DataPoint | {"DatePerformed":"2021-08-20T00:00:00Z","Sets":5,"Reps":4,"Effort":6,"Intensity":0.73,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.879476 | DataPoint | {"DatePerformed":"2021-08-20T00:00:00Z","Sets":1,"Reps":3,"Effort":6,"Intensity":0.81,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.880666 | DataPoint | {"DatePerformed":"2021-08-13T00:00:00Z","Sets":3,"Reps":4,"Effort":6,"Intensity":0.73,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.881801 | DataPoint | {"DatePerformed":"2021-08-13T00:00:00Z","Sets":1,"Reps":3,"Effort":6,"Intensity":0.81,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.883161 | DataPoint | {"DatePerformed":"2021-08-10T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":0,"InterExerciseFatigue":0,"InterWorkoutFatigue":2}
